id,title,timestamp,previous_screen,user_action,next_screen,section,confidence,data_requested,free_or_premium,open_questions
027,Trust building observed state,01:42,026,"Observed Continue, selection, scroll, or navigation action.",028,Trust building,Medium,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
028,Period relationship question,01:45,027,"Observed Continue, selection, scroll, or navigation action.",029,Trust building,High,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
029,Trust building observed state,01:48,028,"Observed Continue, selection, scroll, or navigation action.",030,Trust building,Medium,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
030,Trust building observed state,01:57,029,"Observed Continue, selection, scroll, or navigation action.",031,Trust building,Medium,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
031,Pass It On project,02:00,030,"Observed Continue, selection, scroll, or navigation action.",032,Trust building,High,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
032,Trust building observed state,02:03,031,"Observed Continue, selection, scroll, or navigation action.",033,Trust building,Medium,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
033,Cycle regularity question,02:06,032,"Observed Continue, selection, scroll, or navigation action.",034,Period and cycle history,High,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
034,Period and cycle history observed state,02:09,033,"Observed Continue, selection, scroll, or navigation action.",036,Period and cycle history,Medium,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
036,Period and cycle history observed state,02:15,034,"Observed Continue, selection, scroll, or navigation action.",037,Period and cycle history,Medium,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
037,Period and cycle history observed state,02:24,036,"Observed Continue, selection, scroll, or navigation action.",038,Period and cycle history,Medium,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
038,Follicular phase education,02:27,037,"Observed Continue, selection, scroll, or navigation action.",039,Period and cycle history,High,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
039,Period and cycle history observed state,02:30,038,"Observed Continue, selection, scroll, or navigation action.",040,Period and cycle history,Medium,Cycle regularity and last period date.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
040,Health conditions list,02:36,039,"Observed Continue, selection, scroll, or navigation action.",041,Health assessment,High,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
041,Health assessment observed state,02:42,040,"Observed Continue, selection, scroll, or navigation action.",042,Health assessment,Medium,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
042,Health assessment observed state,02:51,041,"Observed Continue, selection, scroll, or navigation action.",043,Health assessment,Medium,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
043,Calculating cycle predictions,02:54,042,"Observed Continue, selection, scroll, or navigation action.",044,Health assessment,High,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
044,Symptoms impact battery,02:57,043,"Observed Continue, selection, scroll, or navigation action.",045,Health assessment,High,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
045,Health assessment observed state,03:00,044,"Observed Continue, selection, scroll, or navigation action.",046,Health assessment,Medium,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
046,Symptom selection,03:03,045,"Observed Continue, selection, scroll, or navigation action.",048,Health assessment,High,Health conditions and symptoms.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
048,Health and lifestyle assessment observed state,03:09,046,"Observed Continue, selection, scroll, or navigation action.",049,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
049,Health and lifestyle assessment observed state,03:12,048,"Observed Continue, selection, scroll, or navigation action.",050,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
050,Lifestyle check-in,03:18,049,"Observed Continue, selection, scroll, or navigation action.",051,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
051,Health and lifestyle assessment observed state,03:21,050,"Observed Continue, selection, scroll, or navigation action.",052,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
052,Health and lifestyle assessment observed state,03:24,051,"Observed Continue, selection, scroll, or navigation action.",053,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
053,Health and lifestyle assessment observed state,03:27,052,"Observed Continue, selection, scroll, or navigation action.",054,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
054,Health and lifestyle assessment observed state,03:30,053,"Observed Continue, selection, scroll, or navigation action.",055,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
055,Health and lifestyle assessment observed state,03:33,054,"Observed Continue, selection, scroll, or navigation action.",056,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
056,Sleep impact question,03:36,055,"Observed Continue, selection, scroll, or navigation action.",057,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
057,Health and lifestyle assessment observed state,03:39,056,"Observed Continue, selection, scroll, or navigation action.",058,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
058,Skin impact question,03:42,057,"Observed Continue, selection, scroll, or navigation action.",059,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
059,Health and lifestyle assessment observed state,03:45,058,"Observed Continue, selection, scroll, or navigation action.",060,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
060,Energy and activity impact,03:48,059,"Observed Continue, selection, scroll, or navigation action.",061,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
061,Diet impact question,03:57,060,"Observed Continue, selection, scroll, or navigation action.",062,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
062,Mental health impact question,04:00,061,"Observed Continue, selection, scroll, or navigation action.",063,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
063,Health and lifestyle assessment observed state,04:03,062,"Observed Continue, selection, scroll, or navigation action.",064,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
064,Sex-related question intro,04:09,063,"Observed Continue, selection, scroll, or navigation action.",065,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
065,Health and lifestyle assessment observed state,04:12,064,"Observed Continue, selection, scroll, or navigation action.",066,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
066,Health and lifestyle assessment observed state,04:18,065,"Observed Continue, selection, scroll, or navigation action.",067,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
067,Health and lifestyle assessment observed state,04:21,066,"Observed Continue, selection, scroll, or navigation action.",068,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
068,Smartwatch or fitness tracker,04:24,067,"Observed Continue, selection, scroll, or navigation action.",069,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
069,Health and lifestyle assessment observed state,04:27,068,"Observed Continue, selection, scroll, or navigation action.",070,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
070,Height selector,04:30,069,"Observed Continue, selection, scroll, or navigation action.",071,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
071,Weight selector,04:33,070,"Observed Continue, selection, scroll, or navigation action.",072,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
072,Health and lifestyle assessment observed state,04:36,071,"Observed Continue, selection, scroll, or navigation action.",073,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
073,Health and lifestyle assessment observed state,04:39,072,"Observed Continue, selection, scroll, or navigation action.",074,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
074,Health and lifestyle assessment observed state,04:42,073,"Observed Continue, selection, scroll, or navigation action.",075,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
075,Health and lifestyle assessment observed state,04:45,074,"Observed Continue, selection, scroll, or navigation action.",076,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
076,Health and lifestyle assessment observed state,04:51,075,"Observed Continue, selection, scroll, or navigation action.",077,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
077,Health and lifestyle assessment observed state,04:54,076,"Observed Continue, selection, scroll, or navigation action.",078,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
078,Battery recharge explanation,04:57,077,"Observed Continue, selection, scroll, or navigation action.",079,Health and lifestyle assessment,High,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
079,Health and lifestyle assessment observed state,05:00,078,"Observed Continue, selection, scroll, or navigation action.",080,Health and lifestyle assessment,Medium,"Symptoms, sleep, diet, activity, sex life, height, weight, mental health.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
080,Personalized insights preview,05:03,079,Observed chat continuation or answer selection.,081,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
081,Virtual Health Assistant preview,05:06,080,Observed chat continuation or answer selection.,082,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
082,Health Assistant/chat observed state,05:09,081,Observed chat continuation or answer selection.,083,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
083,Health Assistant/chat observed state,05:12,082,Observed chat continuation or answer selection.,084,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
084,Health Assistant/chat observed state,05:15,083,Observed chat continuation or answer selection.,085,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
085,Privacy priority claim,05:18,084,Observed chat continuation or answer selection.,086,Health Assistant/chat,High,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
086,Health Assistant/chat observed state,05:24,085,Observed chat continuation or answer selection.,087,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
087,Health Assistant/chat observed state,05:27,086,Observed chat continuation or answer selection.,088,Health Assistant/chat,Medium,"Symptom details, follow-up answers, health history, and risk-related context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
088,Welcome to Flo loading,05:30,087,Observed Premium discovery or plan selection step.,089,Paywall and pricing,High,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
089,Paywall and pricing observed state,05:33,088,Observed Premium discovery or plan selection step.,090,Paywall and pricing,Medium,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
090,Choose your plan,05:36,089,Observed Premium discovery or plan selection step.,091,Paywall and pricing,High,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
091,Paywall and pricing observed state,05:39,090,Observed Premium discovery or plan selection step.,094,Paywall and pricing,Medium,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
094,Premium congratulations,05:48,091,Observed Premium discovery or plan selection step.,095,Paywall and pricing,High,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
095,Paywall and pricing observed state,05:51,094,Observed Premium discovery or plan selection step.,097,Paywall and pricing,Medium,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
097,Paywall and pricing observed state,05:57,095,Observed Premium discovery or plan selection step.,098,Paywall and pricing,Medium,Premium plan and subscription options where visible.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
098,Welcome to Flo,06:00,097,"Observed Continue, selection, scroll, or navigation action.",099,Premium discovery,High,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
099,Premium discovery observed state,06:03,098,"Observed Continue, selection, scroll, or navigation action.",100,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
100,Premium coin animation,06:06,099,"Observed Continue, selection, scroll, or navigation action.",103,Premium discovery,High,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
103,Premium discovery observed state,06:15,100,"Observed Continue, selection, scroll, or navigation action.",104,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
104,Premium discovery observed state,06:21,103,"Observed Continue, selection, scroll, or navigation action.",105,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
105,Premium discovery observed state,06:24,104,"Observed Continue, selection, scroll, or navigation action.",106,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
106,Premium discovery observed state,06:27,105,"Observed Continue, selection, scroll, or navigation action.",108,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
108,Premium discovery observed state,06:33,106,"Observed Continue, selection, scroll, or navigation action.",114,Premium discovery,Medium,Premium feature education and onboarding states.,Premium observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
114,Dashboard with content cards,06:54,108,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",115,Dashboard and daily logging,High,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
115,Dashboard and daily logging observed state,06:57,114,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",116,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
116,Dashboard and daily logging observed state,07:00,115,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",117,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
117,Dashboard and daily logging observed state,07:06,116,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",118,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
118,Calendar edit,07:09,117,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",119,Dashboard and daily logging,High,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
119,Dashboard and daily logging observed state,07:15,118,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",120,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
120,Dashboard and daily logging observed state,07:18,119,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",121,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
121,Dashboard and daily logging observed state,07:36,120,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",122,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
122,Daily logging modal,07:39,121,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",123,Dashboard and daily logging,High,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
123,Dashboard and daily logging observed state,07:42,122,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",124,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
124,Dashboard and daily logging observed state,07:45,123,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",125,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
125,Dashboard and daily logging observed state,07:54,124,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",126,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
126,Dashboard and daily logging observed state,07:57,125,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",127,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
127,Dashboard and daily logging observed state,08:00,126,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",128,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
128,Dashboard and daily logging observed state,08:03,127,"Observed tap, scroll, calendar edit, tab change, or dashboard navigation.",129,Dashboard and daily logging,Medium,"Cycle prediction, logs, symptoms, water, weight, and reminder settings.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
