id,title,timestamp,previous,user_action,next,section,confidence,notes,free_premium
021,Imported Clue Screen 89-1,Manual,020,Manual screenshot inserted before the recorded video sequence.,022,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
022,Imported Clue Screen 89-2,Manual,021,Manual screenshot inserted before the recorded video sequence.,023,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
023,Imported Clue Screen 90,Manual,022,Manual screenshot inserted before the recorded video sequence.,024,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
024,Imported Clue Screen 90-1,Manual,023,Manual screenshot inserted before the recorded video sequence.,025,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
025,Daily Check In,00:27,024,Next observed action in recording,026,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
026,Current Cycle Dashboard State,00:28,025,Next observed action in recording,027,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
027,Current Cycle Dashboard State,00:30,026,Next observed action in recording,028,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
028,Tracking Categories,00:32,027,Next observed action in recording,029,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
029,Current Cycle Dashboard State,00:38,028,Next observed action in recording,030,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
030,Current Cycle Dashboard State,00:40,029,Next observed action in recording,031,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
031,Current Cycle Dashboard State,00:41,030,Next observed action in recording,032,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
032,Birth Control Settings,00:43,031,Next observed action in recording,033,Current cycle dashboard,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
033,Daily Check-In Tracking State,00:44,032,Next observed action in recording,034,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
034,Daily Check-In Tracking State,00:45,033,Next observed action in recording,035,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
035,Daily Check-In Tracking State,00:46,034,Next observed action in recording,036,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
036,Daily Check-In Tracking State,00:47,035,Next observed action in recording,037,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
037,Daily Check-In Tracking State,01:07,036,Next observed action in recording,038,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
038,Cycle Phase Education,01:08,037,Next observed action in recording,039,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
039,Daily Check-In Tracking State,01:09,038,Next observed action in recording,040,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
040,Daily Check-In Tracking State,01:10,039,Next observed action in recording,041,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
041,Daily Check-In Tracking State,01:11,040,Next observed action in recording,042,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
042,Daily Check-In Tracking State,01:12,041,Next observed action in recording,043,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
043,Daily Check-In Tracking State,01:16,042,Next observed action in recording,044,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
044,Daily Check-In Tracking State,01:19,043,Next observed action in recording,045,Daily check-in and tracking,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
045,Articles Health Education,01:20,044,Next observed action in recording,046,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
046,Calendar Cycle History State,01:21,045,Next observed action in recording,047,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
047,Calendar Cycle History State,01:22,046,Next observed action in recording,048,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
048,Calendar Cycle History State,01:23,047,Next observed action in recording,049,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
049,Calendar Cycle History State,01:25,048,Next observed action in recording,050,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
050,Calendar Cycle History State,01:26,049,Next observed action in recording,051,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
051,Calendar Cycle History State,01:27,050,Next observed action in recording,052,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
052,Calendar Cycle History State,01:28,051,Next observed action in recording,053,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
053,Calendar Cycle History State,01:29,052,Next observed action in recording,054,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
054,Calendar Cycle History State,01:30,053,Next observed action in recording,055,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
055,Analysis Statistics,01:31,054,Next observed action in recording,056,Calendar and cycle history,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
056,Birth-Control Settings State,01:34,055,Next observed action in recording,057,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
057,Birth-Control Settings State,01:35,056,Next observed action in recording,058,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
058,Birth-Control Settings State,01:36,057,Next observed action in recording,059,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
059,Birth-Control Settings State,01:37,058,Next observed action in recording,060,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
060,Birth-Control Settings State,01:39,059,Next observed action in recording,061,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
061,Birth-Control Settings State,01:40,060,Next observed action in recording,062,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
062,Wearable Integrations,01:43,061,Next observed action in recording,063,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
063,Birth-Control Settings State,01:45,062,Next observed action in recording,064,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
064,Birth-Control Settings State,01:46,063,Next observed action in recording,065,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
065,Birth-Control Settings State,01:47,064,Next observed action in recording,066,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
066,Birth-Control Settings State,01:50,065,Next observed action in recording,067,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
067,Birth-Control Settings State,01:52,066,Next observed action in recording,068,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
068,Birth-Control Settings State,01:54,067,Next observed action in recording,069,Birth-control settings,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
069,Cycle-Phase Education State,01:55,068,Next observed action in recording,070,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
070,Content Library,01:56,069,Next observed action in recording,071,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
071,Cycle-Phase Education State,01:57,070,Next observed action in recording,072,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
072,Cycle-Phase Education State,02:01,071,Next observed action in recording,073,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
073,Cycle-Phase Education State,02:02,072,Next observed action in recording,074,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
074,Cycle-Phase Education State,02:03,073,Next observed action in recording,075,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
075,Cycle-Phase Education State,02:05,074,Next observed action in recording,076,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
076,Cycle-Phase Education State,02:06,075,Next observed action in recording,077,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
077,Cycle-Phase Education State,02:07,076,Next observed action in recording,078,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
078,Sensitive Content,02:08,077,Next observed action in recording,079,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
079,Cycle-Phase Education State,02:10,078,Next observed action in recording,080,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
080,Cycle-Phase Education State,02:11,079,Next observed action in recording,081,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
081,Cycle-Phase Education State,02:12,080,Next observed action in recording,082,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
082,Cycle-Phase Education State,02:13,081,Next observed action in recording,083,Cycle-phase education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
083,Articles Health Education State,02:14,082,Next observed action in recording,084,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
084,Articles Health Education State,02:15,083,Next observed action in recording,085,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
085,Articles Health Education State,02:16,084,Next observed action in recording,086,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
086,Premium Discovery,02:19,085,Next observed action in recording,087,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Premium visible
087,Articles Health Education State,02:20,086,Next observed action in recording,088,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
088,Articles Health Education State,02:21,087,Next observed action in recording,089,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
089,Articles Health Education State,02:22,088,Next observed action in recording,090,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
090,Articles Health Education State,02:23,089,Next observed action in recording,091,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
091,Articles Health Education State,02:24,090,Next observed action in recording,092,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
092,Articles Health Education State,02:25,091,Next observed action in recording,093,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
093,Articles Health Education State,02:26,092,Next observed action in recording,094,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
094,Articles Health Education State,02:27,093,Next observed action in recording,095,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
095,Articles Health Education State,02:29,094,Next observed action in recording,096,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
096,Settings Account,02:30,095,Next observed action in recording,097,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
097,Articles Health Education State,02:31,096,Next observed action in recording,098,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
098,Articles Health Education State,02:32,097,Next observed action in recording,099,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
099,Articles Health Education State,02:33,098,Next observed action in recording,100,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
100,Articles Health Education State,02:34,099,Next observed action in recording,101,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
101,Articles Health Education State,02:35,100,Next observed action in recording,102,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
102,Articles Health Education State,02:36,101,Next observed action in recording,103,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
103,Articles Health Education State,02:37,102,Next observed action in recording,104,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
104,Articles Health Education State,02:38,103,Next observed action in recording,105,Articles and health education,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
105,Analysis Statistics State,02:39,104,Next observed action in recording,106,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
106,Analysis Statistics State,02:40,105,Next observed action in recording,107,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
107,Analysis Statistics State,02:41,106,Next observed action in recording,108,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
108,Analysis Statistics State,02:42,107,Next observed action in recording,109,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
109,Analysis Statistics State,02:43,108,Next observed action in recording,110,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
110,Analysis Statistics State,02:44,109,Next observed action in recording,111,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
111,Analysis Statistics State,02:45,110,Next observed action in recording,112,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
112,Analysis Statistics State,02:46,111,Next observed action in recording,113,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
113,Analysis Statistics State,02:47,112,Next observed action in recording,114,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
114,Analysis Statistics State,02:48,113,Next observed action in recording,115,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
115,Analysis Statistics State,02:49,114,Next observed action in recording,116,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
116,Analysis Statistics State,02:51,115,Next observed action in recording,117,Analysis and statistics,Medium,Auto-extracted unique UI state; interpretation is conservative and evidence-led. Continued from video-derived Clue frames after removing old 001-004. Continued from video-derived Clue frames after removing old 001-004.,Not observed as paid on this screen
